,0
304,nubank
305,pela
306,caixinha
307,nandax_
308,nubank
309,mesm
310,cois
311,aqu
312,thiagoast
313,bancoint
314,nubank
315,seguir
316,zoeir
317,mud
318,estado
319,tbém
320,governo
321,pagou
322,aren
323,thiagoast
324,bancoint
325,nubank
326,variedad
327,mem
328,ess
329,verda
330,dispar
331,brincadeir
332,isso
333,aqu
334,nubank
335,https
336,aviso
337,nubank
338,bank
339,bancoint
340,juro
341,alguém
342,clonou
343,cartão
344,possível
345,minh
346,fatur
347,est
348,ness
349,val
350,tenho
351,rock
352,seman
353,gent
354,faz
355,kkkkkkkkkkkkkkk
356,aplicativo
357,consegu
358,tir
359,aproximação
360,cartão
361,nubank
362,drii_aquino
363,joslu
364,nubank
365,gent
366,tudo
367,certo
368,amare
369,par
370,sempr
371,nubank
372,precise
373,cancel
374,us
375,função
376,crédito
377,restinpeac
378,descanseempaz
379,https
380,yifzleutk
381,anacaro
382,raissaalmeida_
383,nubank
384,aument
385,limit
386,minh
387,amig
388,fav
389,jr_zenii
390,nubank
391,isso
392,pag
393,fatur
394,joslu
395,barbarais
396,nubank
397,fudid
398,minh
399,fatur
400,simples
401,quer
402,pag
403,ajud
404,noi
405,nubank
406,andsouz
407,thiagoast
408,bancoint
409,nubank
410,par
411,assistir
412,el
413,transmitem
414,libertad
415,itau
416,nunc
417,abram
418,cont
419,itaú
420,escolham
421,nubank
422,mesmo
423,nad
424,banco
425,lig
426,falando
427,devendo
428,rea
429,nad
430,resolv
431,tenho
432,agenc
433,outr
434,cidad
435,outra
436,agencia
437,podem
438,faz
439,nad
440,lixoooo
441,nubank
442,anitt
443,nubank
444,coloc
445,limit
446,quando
447,mes
448,usando
449,cartão
450,tenho
451,rea
452,limit
453,rblima
454,wnetoo
455,nubank
456,tanko
457,foto
458,gam
459,eduu
460,reclamando
461,banco
462,kkkkkkkkkk
463,deu
464,pagu
465,nubank
466,paulinharm
467,nubank
468,segurando
469,preso
470,wanderley
471,nubank
472,estranho
473,vítima
474,golp
475,nubank
476,bloqueou
477,cont
478,imediata
479,restituiu
480,val
481,ressalv
482,apó
483,investigação
484,poder
485,faz
486,estorno
487,agor
488,comentário
489,misturam
490,coisa
491,anit
492,estão
493,apena
494,atrá
495,lid
496,cois
497,nad
498,outr
499,lelo_rodri
500,bancoint
501,nubank
502,pagare
503,minh
504,heinek
505,cartão
506,roxo
507,nubank
508,jathleticano
509,thiagoast
510,bancoint
511,nubank
512,burro
513,m_pires
514,joohnnyto
515,hataetutu
516,nubank
517,par
518,melh
519,anál
520,caso
521,resid
522,estado
523,paulo
524,acess
525,https
526,tilikv
527,faç
528,reclamação
529,nubank
530,int
531,bank
532,estou
533,avaliando
534,melh
535,opçõ
536,par
537,cartão
538,black
539,acesso
540,sala
541,aeroporto
542,tenho
543,palestra
544,sobr
545,comunicação
546,estratégic
547,pelo
548,whatsap
549,marcada
550,pelo
551,brasil
552,quero
553,aproveit
554,benefício
555,itau
556,latam_bra
557,ajud
558,https
559,dtri
560,tterp
561,marvilatalit
562,nubank
563,aqu
564,expectativ
565,também
566,nubank
567,consigo
568,acess
569,minh
570,própria
571,cont
572,nubank
573,el
574,enviam
575,código
576,verificação
577,mail
578,johnisl
579,thiagoast
580,bancoint
581,nubank
582,coro
583,dev
584,rubro
585,negr
586,tambem
587,ador
588,grandao
589,nubank
590,collecteez
591,obrigadaaa
592,collecteez
593,nubank
594,nubank
595,goyangiiwony
596,carac
597,responderam
598,rapidao
599,giwrobl
600,nubank
601,agor
602,viagem
603,decepcionad
604,nubank
605,mandou
606,mail
607,fel
608,aniversário
609,aind
610,lorry
611,joohnnyto
612,nubank
613,consumid
614,problema
615,poderão
616,registr
617,reclamação
618,par
619,melh
620,anál
621,caso
622,resid
623,estado
624,paulo
625,acess
626,https
627,tilikv
628,collecteez
629,nubank
630,opção
631,crédito
632,lenda
633,staud
634,joohnnyto
635,nubank
636,consumid
637,problema
638,poderão
639,registr
640,reclamação
641,par
642,melh
643,anál
644,caso
645,resid
646,estado
647,paulo
648,acess
649,https
650,tilikv
651,nubank
652,pelo
653,am
654,deu
655,vítima
656,golp
657,ajud
658,preciso
659,pag
660,cartão
661,plmds
662,tentando
663,pag
664,fatur
665,nubank
666,aplicativo
667,dando
668,problem
669,red
670,sendo
671,estou
672,fic
673,receb
674,hein
675,nubank
676,depo
677,chor
678,agor
679,nubank
680,lançou
681,caixinha
682,eram
683,sonho
684,organiz
685,minh
686,gran
687,nunc
688,mai
689,abandono
690,el
691,mesmo
692,peço
693,envi
694,mail
695,código
696,autorização
697,ess
698,mail
699,cheg
700,nubank
701,dinheiro
702,nubank
703,lucass
704,nubank
705,porr
706,merd
707,quis
708,faz
709,cont
710,depo
711,transferir
712,mesm
713,hor
714,nubank
715,fav
716,cadê
717,part
718,cont
719,https
720,acuaqb
721,stockpickers_
722,pedacinho
723,nubank
724,irnehy
725,jujucof
726,nubank
727,tentação
728,peg
729,ess
730,fugir
731,paí
732,nubank
733,homebrok
734,for
735,novo
736,aceito
737,sugestão
738,corretora
739,nubank
740,como
741,faco
742,sab
743,quanto
744,tenho
745,mand
746,viv
747,tudo
748,errado
749,ajeit
750,isso
751,logo
752,porr
753,nubank
754,bitch
755,bet
756,money
757,thiagoast
758,bancoint
759,nubank
760,car
761,nunc
762,mai
763,tom
764,amstel
765,poi
766,patrocin
767,libertad
768,wnetoo
769,nubank
770,tudo
771,ando
772,vendo
773,and
774,sendo
775,pior
776,banco
777,tanto
778,problem
779,resolvido
780,últimos
781,mes
782,ess
783,empres
784,palhaçad
785,leofont
786,nandax_
787,nubank
788,ig
789,aqu
790,rock_verde
791,wanderley
792,nubank
793,aconteceu
794,mesm
795,cois
796,comigo
797,avise
798,banco
799,int
800,cont
801,estav
802,aplicando
803,golp
804,nubank
805,est
806,acontecendo
807,consigo
808,saldo
809,faz
810,passe
811,vergonh
812,nubank
813,estamo
814,usando
815,tax
816,corret
817,trabalho
818,isso
819,estão
820,usando
821,errad
822,fav
823,aguard
824,dia
825,sej
826,confirmad
827,compr
828,dia
829,mud
830,entr
831,contato
832,novo
833,pedir
834,algo
835,pedindo
836,hoj
837,nubank
838,obrigado
839,nad
840,bor
841,nubank
842,liber
843,logo
844,ess
845,empréstimo
846,enrolação
847,nubank
848,ajud
849,desligou
850,celul
851,segu
852,todo
853,passo
854,mude
855,senh
856,depo
857,ped
858,código
859,env
860,mail
861,enviam
862,código
863,consigo
864,entr
865,ajud
866,nubank
867,cortou
868,rendimento
869,cont
870,cor
871,agor
872,partir
873,dia
874,hor
875,caç
876,outro
877,banco
878,wanderley
879,nubank
880,aconteceu
881,mesm
882,cois
883,comigo
884,avise
885,banco
886,int
887,cont
888,estav
889,aplicando
890,golp
891,interessaram
892,nandax_
893,nubank
894,estou
895,tentando
896,isso
897,também
898,ache
899,nubank
900,bugadaço
901,saldo
902,cont
903,está
904,dif
905,fato
906,cont
907,aliá
908,ultima
909,nubank
910,trixxxt
911,cad
912,saldo
913,minh
914,cont
915,hein
916,nubank
917,flaviomac
918,caralho
919,nubank
920,merd
921,acontecendo
922,ess
923,jujucof
924,nubank
925,sumiu
926,tudo
927,pedromlkdaor
928,joohnnyto
929,nubank
930,caso
931,haj
932,solução
933,direta
934,empres
935,resid
936,estado
937,acess
938,https
939,vrfpgbrnq
940,digit
941,documento
942,ref
943,problem
944,faç
945,reclamação
946,biiabrighent
947,joohnnyto
948,nubank
949,caso
950,haj
951,solução
952,direta
953,empres
954,resid
955,estado
956,acess
957,https
958,vrfpgbrnq
959,digit
960,documento
961,ref
962,problem
963,faç
964,reclamação
965,ysmncuel
966,joohnnyto
967,nubank
968,par
969,melh
970,anál
971,caso
972,resid
973,estado
974,paulo
975,acess
976,https
977,tilikv
978,faç
979,reclamação
980,maarianapaul
981,joohnnyto
982,nubank
983,par
984,melh
985,anál
986,caso
987,resid
988,estado
989,paulo
990,acess
991,https
992,tilikv
993,faç
994,reclamação
995,nubank
996,nunc
997,aument
998,limit
999,caralho
1000,nubank
1001,merd
1002,acontecendo
1003,ess
1004,ghutyar
1005,nubank
1006,consumid
1007,problema
1008,poderão
1009,registr
1010,reclamação
1011,par
1012,melh
1013,anál
1014,caso
1015,resid
1016,estado
1017,paulo
1018,acess
1019,https
1020,tilikv
1021,cad
1022,mai
1023,cient
1024,lógica
1025,atendimento
1026,empresa
1027,vamo
1028,vent
1029,pelo
1030,cansaço
1031,mesmo
1032,tiv
1033,certo
1034,considerarmo
1035,está
1036,vamo
1037,faz
1038,gast
1039,mai
1040,obrigado
1041,nubank
1042,pel
1043,terrível
1044,experiênc
1045,atendimento
1046,recomendo
1047,muito
1048,fujam
1049,nubank
1050,atualizou
1051,bugou
1052,tudo
1053,aparec
1054,quanto
1055,dinheiro
1056,faz
1057,nad
1058,lixooooo
1059,johnazedo
1060,nubank
1061,tenho
1062,únic
1063,experiênc
1064,ruim
1065,tiv
1066,del
1067,quando
1068,cartão
1069,roubado
1070,el
1071,levaram
1072,mai
1073,par
1074,entreg
1075,outro
1076,quando
1077,cartão
1078,quer
1079,funcion
1080,dia
1081,manutenção
1082,del
1083,quero
1084,sair
1085,nubank
1086,procurando
1087,outra
1088,opçõ
